"Time","192.168.17.82:6443"
2026-01-06 10:47:00,0.245
2026-01-06 10:48:00,0.343
2026-01-06 10:49:00,0.243
2026-01-06 10:50:00,0.342
2026-01-06 10:51:00,0.238
2026-01-06 10:52:00,0.239
2026-01-06 10:53:00,0.244
2026-01-06 10:54:00,0.245
2026-01-06 10:55:00,0.247
2026-01-06 10:56:00,0.250
2026-01-06 10:57:00,1.33
2026-01-06 10:58:00,1.94
2026-01-06 10:59:00,2.02
2026-01-06 11:00:00,2.18
2026-01-06 11:01:00,2.20
2026-01-06 11:02:00,2.25
2026-01-06 11:03:00,2.31
2026-01-06 11:04:00,2.33
2026-01-06 11:05:00,2.48
2026-01-06 11:06:00,2.68
2026-01-06 11:07:00,2.51
2026-01-06 11:08:00,2.63
2026-01-06 11:09:00,2.61
2026-01-06 11:10:00,2.59
2026-01-06 11:11:00,2.47
2026-01-06 11:12:00,1.62
2026-01-06 11:13:00,1.44
2026-01-06 11:14:00,1.64
2026-01-06 11:15:00,1.43
2026-01-06 11:16:00,1.40
2026-01-06 11:17:00,1.40
2026-01-06 11:18:00,1.59
2026-01-06 11:19:00,1.41
2026-01-06 11:20:00,1.59
2026-01-06 11:21:00,1.40
2026-01-06 11:22:00,1.60
2026-01-06 11:23:00,0.287
2026-01-06 11:24:00,0.385
2026-01-06 11:25:00,0.288
2026-01-06 11:26:00,0.260
2026-01-06 11:27:00,0.257
2026-01-06 11:28:00,2.50
2026-01-06 11:29:00,2.80
2026-01-06 11:30:00,2.76
2026-01-06 11:31:00,2.75
2026-01-06 11:32:00,2.94
2026-01-06 11:33:00,3.23
2026-01-06 11:34:00,3.31
2026-01-06 11:35:00,3.32
2026-01-06 11:36:00,3.26
2026-01-06 11:37:00,3.27
2026-01-06 11:38:00,3.63
2026-01-06 11:39:00,3.58
2026-01-06 11:40:00,3.71
2026-01-06 11:41:00,3.43
2026-01-06 11:42:00,3.56
2026-01-06 11:43:00,1.45
2026-01-06 11:44:00,1.42
2026-01-06 11:45:00,1.44
2026-01-06 11:46:00,1.42
2026-01-06 11:47:00,1.42
2026-01-06 11:48:00,1.41
2026-01-06 11:49:00,1.43
2026-01-06 11:50:00,1.42
2026-01-06 11:51:00,1.40
2026-01-06 11:52:00,1.18
2026-01-06 11:53:00,1.38
2026-01-06 11:54:00,1.39
2026-01-06 11:55:00,1.41
2026-01-06 11:56:00,1.38
2026-01-06 11:57:00,1.59
2026-01-06 11:58:00,1.33
2026-01-06 11:59:00,1.81
2026-01-06 12:00:00,0.525
2026-01-06 12:01:00,0.381
2026-01-06 12:02:00,0.372
2026-01-06 12:03:00,0.386
2026-01-06 12:04:00,0.383
2026-01-06 12:05:00,3.04
2026-01-06 12:06:00,2.83
2026-01-06 12:07:00,2.83
2026-01-06 12:08:00,3.07
2026-01-06 12:09:00,3.67
2026-01-06 12:10:00,3.85
2026-01-06 12:11:00,4.02
2026-01-06 12:12:00,3.79
2026-01-06 12:13:00,4.11
2026-01-06 12:14:00,4.39
2026-01-06 12:15:00,4.43
2026-01-06 12:16:00,3.96
2026-01-06 12:17:00,4.07
2026-01-06 12:18:00,3.94
2026-01-06 12:19:00,4.47
2026-01-06 12:20:00,1.42
2026-01-06 12:21:00,1.44
2026-01-06 12:22:00,1.65
2026-01-06 12:23:00,1.43
2026-01-06 12:24:00,1.54
2026-01-06 12:25:00,1.39
2026-01-06 12:26:00,1.42
2026-01-06 12:27:00,1.57
2026-01-06 12:28:00,1.25
2026-01-06 12:29:00,1.91
2026-01-06 12:30:00,1.61
2026-01-06 12:31:00,1.52
2026-01-06 12:32:00,1.93
2026-01-06 12:33:00,1.73
2026-01-06 12:34:00,1.67
2026-01-06 12:35:00,1.75
2026-01-06 12:36:00,1.64
2026-01-06 12:37:00,1.88
2026-01-06 12:38:00,1.66
2026-01-06 12:39:00,1.69
2026-01-06 12:40:00,1.59
2026-01-06 12:41:00,1.21
2026-01-06 12:42:00,0.461
2026-01-06 12:43:00,0.465
2026-01-06 12:44:00,0.273
2026-01-06 12:45:00,0.267
2026-01-06 12:46:00,0.729
2026-01-06 12:47:00,3.16
2026-01-06 12:48:00,3.14
2026-01-06 12:49:00,3.58
2026-01-06 12:50:00,3.82
2026-01-06 12:51:00,4.21
2026-01-06 12:52:00,4.29
2026-01-06 12:53:00,4.67
2026-01-06 12:54:00,4.48
2026-01-06 12:55:00,4.59
2026-01-06 12:56:00,4.35
2026-01-06 12:57:00,4.35
2026-01-06 12:58:00,4.65
2026-01-06 12:59:00,4.95
2026-01-06 13:00:00,5.00
2026-01-06 13:01:00,4.45
2026-01-06 13:02:00,1.44
2026-01-06 13:03:00,1.23
2026-01-06 13:04:00,1.45
2026-01-06 13:05:00,1.23
2026-01-06 13:06:00,1.82
2026-01-06 13:07:00,1.87
2026-01-06 13:08:00,1.67
2026-01-06 13:09:00,1.85
2026-01-06 13:10:00,1.86
2026-01-06 13:11:00,1.71
2026-01-06 13:12:00,1.79
2026-01-06 13:13:00,1.79
2026-01-06 13:14:00,1.93
2026-01-06 13:15:00,1.83
2026-01-06 13:16:00,1.53
2026-01-06 13:17:00,1.76
2026-01-06 13:18:00,1.57
2026-01-06 13:19:00,1.85
2026-01-06 13:20:00,1.79
2026-01-06 13:21:00,1.38
2026-01-06 13:22:00,1.38
2026-01-06 13:23:00,1.37
2026-01-06 13:24:00,1.38
2026-01-06 13:25:00,1.41
2026-01-06 13:26:00,1.29
2026-01-06 13:27:00,0.264
2026-01-06 13:28:00,0.359
2026-01-06 13:29:00,0.268
2026-01-06 13:30:00,0.361
2026-01-06 13:31:00,0.593
2026-01-06 13:32:00,0.472
2026-01-06 13:33:00,0.252
2026-01-06 13:34:00,0.346
2026-01-06 13:35:00,0.246
2026-01-06 13:36:00,0.243
2026-01-06 13:37:00,2.04
2026-01-06 13:38:00,1.96
2026-01-06 13:39:00,2.38
2026-01-06 13:40:00,2.21
2026-01-06 13:41:00,2.19
2026-01-06 13:42:00,2.59
2026-01-06 13:43:00,2.42
2026-01-06 13:44:00,2.39
2026-01-06 13:45:00,2.80
2026-01-06 13:46:00,2.80
2026-01-06 13:47:00,2.58
2026-01-06 13:48:00,3.13
2026-01-06 13:49:00,2.99
2026-01-06 13:50:00,3.05
2026-01-06 13:51:00,3.01
2026-01-06 13:52:00,1.92
2026-01-06 13:53:00,1.84
2026-01-06 13:54:00,1.62
2026-01-06 13:55:00,1.15
2026-01-06 13:56:00,0.597
2026-01-06 13:57:00,0.592
2026-01-06 13:58:00,0.601
2026-01-06 13:59:00,0.597
2026-01-06 14:00:00,0.588
2026-01-06 14:01:00,2.87
2026-01-06 14:02:00,3.08
2026-01-06 14:03:00,3.02
2026-01-06 14:04:00,3.29
2026-01-06 14:05:00,3.33
2026-01-06 14:06:00,3.40
2026-01-06 14:07:00,3.71
2026-01-06 14:08:00,3.51
2026-01-06 14:09:00,3.75
2026-01-06 14:10:00,3.83
2026-01-06 14:11:00,3.67
